Date,Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name
2017-02-18,Dozens killed as Suspected cattle rustlers invade Zamfara,2/18/2017,Yanware,Chafe,Zamfara,24.0,,,,,,Robber,,,,,,,,,,,,,24.0,,,,Gun,,,,,,,,,,,Other,"""dozens"" killed",https://dailytimes.ng/news/dozens-killed-suspected-cattle-rustlers-invade-zamfara/,http://www.vanguardngr.com/2017/02/cattle-rustlers-invade-zamfara-kill-dozens/,,11.95862007,6.918039799,"Chafe, Zamfara, Nigeria"
2017-05-08,Notorious armed bandit killed in Zamfara,5/8/2017,Yartukunya,Bungudu,Zamfara,1.0,,State Actor,,,,Robber,,,,,,,,,,,1.0,,,,,,Gun,,,,,,,,,,,Other,,http://www.vanguardngr.com/2017/05/notorious-armed-bandit-killed-zamfara/,,,12.26589966,6.552120209,"Bungudu, Zamfara, Nigeria"
2017-09-21,"Gunmen invade Zamfara FRSC command, kill official",9/21/2017,,Chafe,Zamfara,2.0,,State Actor,,Other Armed Actor,,,,,,,1.0,,1.0,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://punchng.com/gunmen-invade-zamfara-frsc-command-kill-official/,https://www.premiumtimesng.com/news/headlines/243839-gunmen-invade-frsc-state-command-kill-official-another-missing.html,https://www.vanguardngr.com/2017/09/troops-kill-one-bandit-recover-2-ak-47-rifles-zamfara/,11.96409988,6.914760113,"Chafe, Zamfara, Nigeria"
2017-10-21,120 People Allegedly Killed By Herdsmen Over The Weekend In Zamfara State Laid To Rest,10/21/2017,,,Zamfara,120.0,,,Sectarian Actor,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,Other,"Other articles refute this incident as ""fake news""",https://www.nationalmirroronline.net/sad-120-people-allegedly-killed-herdsmen-weekend-zamfara-state-laid-rest/,https://www.premiumtimesng.com/regional/nwest/247396-zamfara-police-speak-alleged-massacre-120-residents-herdsmen.html,,12.09470654,6.246621132,", Zamfara, Nigeria"
2017-10-27,Army confirms ambush on soldiers in Zamfara,10/27/2017,,Maru,Zamfara,5.0,,State Actor,,,,Robber,,,,,0.0,,,,,,5.0,,,,,,Gun,,,,,,,,,,,Other,"""a number"" of the bandits were killed by soldiers",http://sunnewsonline.com/army-confirms-ambush-on-soldiers-in-zamfara/,,,11.65114021,6.247069836,"Maru, Zamfara, Nigeria"
2017-11-17,Many killed as armed men invade Zamfara communities again,11/17/2017,,Maradun,Zamfara,3.0,,,,Other Armed Actor,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,Other,,https://www.premiumtimesng.com/regional/nwest/249969-many-killed-armed-men-invade-zamfara-communities.html,http://saharareporters.com/2017/11/19/police-confirm-fresh-attacks-zamfara-communities,https://www.vanguardngr.com/2017/11/police-confirms-fresh-attacks-zamfara-communities/,12.75452042,6.28181982,"Maradun, Zamfara, Nigeria"
2017-11-17,Many killed as armed men invade Zamfara communities again,11/17/2017,,Shinkafi,Zamfara,22.0,,,,Other Armed Actor,,,,,,,,,,,,,,,22.0,,,,Gun,,,,,,,,,,,Other,,https://www.premiumtimesng.com/regional/nwest/249969-many-killed-armed-men-invade-zamfara-communities.html,http://saharareporters.com/2017/11/19/police-confirm-fresh-attacks-zamfara-communities,https://www.dailytrust.com.ng/bandits-kill-17-in-zamfara-villages.html,13.10760021,6.437059879,"Shinkafi, Zamfara, Nigeria"
2018-01-02,Police patrol team kills suspected armed bandit in Zamfara,1/2/2018,,Bukkuyum,Zamfara,1.0,,State Actor,,,,Robber,,,,,,,,,,,1.0,,,,,,Gun,,,,,,,,,,,Other,,https://www.vanguardngr.com/2018/01/police-patrol-team-kills-suspected-armed-bandit-zamfara/,,,12.13644028,5.466430187,"Bukkuyum, Zamfara, Nigeria"
2018-01-22,"Gunmen abduct Zamfara lawmaker’s two children, kill six",1/22/2018,Gora,Maradun,Zamfara,6.0,,,,,Kidnapper,,,,,,,,,,,2.0,,,6.0,,,,Gun,,,,,,,,,,,Other,,http://punchng.com/gunmen-abduct-zamfara-lawmakers-two-children-demand-n10m/,https://www.premiumtimesng.com/news/top-news/256346-gunmen-abduct-reps-two-children-kill-three-villagers.html,https://www.vanguardngr.com/2018/01/gunmen-abduct-zamfara-reps-2-children-kill-3-villagers/,12.75452042,6.28181982,"Maradun, Zamfara, Nigeria"
2018-02-14,41 people killed by bandits in fresh attack on Zamfara community,2/14/2018,Birane,Zurmi,Zamfara,41.0,,,Sectarian Actor,,,,,,,,,41.0,,,,,,,,,,,Gun,,,Other,,,,,,,,Other,,https://www.premiumtimesng.com/regional/nwest/258782-18-people-killed-in-fresh-attack-on-zamfara-community.html,https://www.vanguardngr.com/2018/02/gunmen-kill-41-traders-bridesmaid-zamfara/,https://af.reuters.com/article/africaTech/idAFL8N1Q64QY?feedType=RSS&feedName=nigeriaNews,12.78989,6.776800156,"Zurmi, Zamfara, Nigeria"
